Build_platform_temperature,Build_platform_target_temperature,Hot_end_temperature,Hot_end_target_temperature,Progress,User,Object,Process_time,Fan_speed,Feed_rate,Current_height,Average_layer_duration,Last_layer_duration,Current_layer,Total_layers,Machine_state,Date,timetime,timeperf_counter,Part
61.3,60.0,199.9,200.0,0.027010569521428,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,133,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:02,0.29972410202026367,0.2998264000000006,2
61.3,60.0,200.1,200.0,0.0274270320470888,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,135,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:03,0.29969120025634766,0.30003200000001584,2
61.3,60.0,200.1,200.0,0.0278434945727496,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,136,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:04,0.29360032081604004,0.2939159000000018,2
61.3,60.0,200.1,200.0,0.0282599570984104,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,138,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:06,0.3090634346008301,0.30965439999999944,2
61.0,60.0,200.3,200.0,0.0295390919986542,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,139,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:07,0.30237340927124023,0.3083402000000035,2
61.0,60.0,200.3,200.0,0.0351464624334441,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,140,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:08,0.303663969039917,0.3044441999999776,2
61.0,60.0,200.3,200.0,0.0355777986207356,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,142,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:10,0.31879091262817383,0.3196041000000207,2
61.0,60.0,200.3,200.0,0.0390284881190678,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,143,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:11,0.3124241828918457,0.326085599999999,2
60.9,60.0,199.2,200.0,0.0512100169946458,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,144,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:12,0.30753159523010254,0.3139269999999783,2
60.9,60.0,199.2,200.0,0.0601342139730912,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,146,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:13,0.30147266387939453,0.30197760000001495,2
60.9,60.0,199.2,200.0,0.063436166855116,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,147,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:15,0.2963898181915283,0.3011045000000081,2
60.9,60.0,199.2,200.0,0.0677941497129235,_api,Leirmo_Exp1_Main_Artifact_0.2mm_PLA_MK3S_2h50m.gcode,148,0,1200.0,0.20,0,0,1,105,printing,2021-05-11 16:51:16,0.31285810470581055,0.31342159999996966,2
